uid	old_dims	old_gp	truth_dims	truth_gp
1987	(18151, 13789)	0,25	27832x21144	0,59
1997	(15688, 15954)	0,25	25481x25913	0,66
2001	(26650, 28824)	0,77	15212x16453	0,25
2004	(30449, 29270)	0,89	16136x15511	0,25
2006	(24616, 20798)	0,51	17212x14542	0,25
2009	(33316, 33754)	1,12	15718x15925	0,25
2011	(23992, 26899)	0,65	14942x16752	0,25
2017	(24597, 10175)	0,25	37309x15434	0,58
2023	(20510, 12203)	0,25	32355x19251	0,62
2024	(55397, 4518)	0,25	130695x10659	1,39
2028	(15826, 15827)	0,25	25048x25049	0,63
2036	(26911, 19094)	0,51	18782x13326	0,25
2038	(38554, 20065)	0,77	21930x11413	0,25
2041	(28710, 19185)	0,55	19354x12933	0,25
2042	(25176, 23402)	0,59	16409x15253	0,25
2066	(46026, 20756)	0,96	15080x12880	0,19
2067	(23401, 10696)	0,25	63961x29234	1,87
2068	(18935, 13219)	0,25	39617x27657	1,10
2069	(39384, 27112)	1,07	19068x13126	0,25
2070	(47935, 21640)	1,04	23547x10630	0,25
2074	(39002, 13955)	0,54	26449x9464	0,25
2076	(39002, 26418)	1,03	19223x13021	0,25
2078	(32224, 32730)	1,05	15698x15945	0,25
2081	(27440, 22161)	0,61	17605x14218	0,25
2083	(27440, 22161)	0,61	17605x14218	0,25
2085	(31167, 16589)	0,52	21685x11542	0,25
2086	(31167, 16589)	0,52	21685x11542	0,25
2098	(24260, 10317)	0,25	63236x26892	1,70
2099	(18935, 13219)	0,25	38521x26892	1,04
2107	(39325, 13189)	0,52	22877x10941	0,25
2113	(25570, 9788)	0,25	84230x32242	2,72
2114	(20487, 12218)	0,25	34484x20566	0,71
2121	(17126, 29528)	0,51	12049x20774	0,25
2126	(29803, 17409)	0,52	20700x12092	0,25
2129	(11428, 21903)	0,25	17126x29528	0,51
2130	(15827, 15827)	0,25	23622x23622	0,56
2133	(9601, 26071)	0,25	14138x38392	0,54
2135	(31470, 7953)	0,25	60974x15409	0,94
